                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.27912,                0.24495,                0.86632,                0.78323,                 0.6719,                0.71828,                0.60369,                0.87559,                 1.1423,                 1.4863,             0.00057205,             0.00057205,             0.00057205
                     51,                0.28668,                0.27172,                0.86905,                0.80816,                0.76979,                 0.7452,                0.62046,                0.85633,                 1.0169,                 1.4628,             0.00056105,             0.00056105,             0.00056105
                     52,                0.28152,                0.26177,                0.86849,                0.79804,                0.77579,                0.73181,                0.61301,                0.83332,                0.91222,                 1.4549,             0.00055006,             0.00055006,             0.00055006
                     53,                0.26366,                0.25203,                0.86432,                0.80915,                0.77351,                0.78683,                0.67149,                0.83417,                0.92657,                 1.4666,             0.00053906,             0.00053906,             0.00053906
                     54,                0.26618,                0.23789,                0.85818,                0.76758,                0.72068,                 0.7229,                0.61593,                0.85331,                  1.092,                 1.4907,             0.00052806,             0.00052806,             0.00052806
                     55,                 0.2551,                0.24178,                0.86176,                0.72358,                0.72158,                0.73309,                0.62676,                0.84175,                 1.0618,                 1.4841,             0.00051706,             0.00051706,             0.00051706
                     56,                0.23652,                0.22404,                0.85846,                0.81413,                0.71908,                0.75597,                0.64071,                0.83719,                 1.0009,                 1.5124,             0.00050606,             0.00050606,             0.00050606
                     57,                0.24911,                0.23708,                0.85875,                 0.7909,                0.74214,                0.73571,                0.62928,                0.82833,                  1.082,                 1.4743,             0.00049506,             0.00049506,             0.00049506
                     58,                0.24679,                0.23297,                0.86018,                0.80071,                 0.7664,                0.72821,                0.62557,                0.83259,                0.96655,                 1.4509,             0.00048406,             0.00048406,             0.00048406
                     59,                0.25241,                0.23296,                0.85581,                0.76478,                0.74213,                0.71601,                0.61331,                0.83006,                 1.1297,                 1.4302,             0.00047306,             0.00047306,             0.00047306
                     60,                0.25864,                0.23885,                0.86105,                  0.827,                0.73436,                0.74537,                0.63913,                0.84274,                 0.9725,                  1.443,             0.00046206,             0.00046206,             0.00046206
                     61,                0.25869,                 0.2399,                0.86427,                0.77138,                0.68611,                0.70248,                0.58467,                 0.8665,                 1.1792,                 1.4959,             0.00045107,             0.00045107,             0.00045107
                     62,                0.24816,                0.23085,                 0.8593,                0.79089,                0.76519,                0.74055,                0.63344,                0.80942,                0.95663,                 1.4717,             0.00044007,             0.00044007,             0.00044007
                     63,                0.24731,                0.23984,                0.85795,                0.70245,                0.64421,                0.69081,                0.57072,                 0.9117,                 1.2847,                 1.6088,             0.00042907,             0.00042907,             0.00042907
                     64,                0.23066,                 0.2154,                 0.8517,                0.78838,                0.74575,                0.73033,                0.62488,                0.82132,                 1.0618,                 1.4581,             0.00041807,             0.00041807,             0.00041807
                     65,                0.22778,                0.20989,                0.84921,                0.76599,                0.71707,                0.71189,                0.59837,                0.84824,                 1.2117,                 1.4895,             0.00040707,             0.00040707,             0.00040707
                     66,                0.23087,                0.22418,                0.85052,                0.78208,                0.71792,                0.70782,                0.59416,                0.86112,                 1.1263,                 1.4835,             0.00039607,             0.00039607,             0.00039607
                     67,                0.22585,                0.21285,                0.84554,                0.82288,                0.73769,                0.75566,                0.64972,                0.81771,                 1.0749,                 1.4503,             0.00038507,             0.00038507,             0.00038507
                     68,                0.22426,                0.21039,                0.84907,                0.78894,                0.72932,                0.73833,                0.63286,                0.82501,                 1.0647,                 1.4626,             0.00037407,             0.00037407,             0.00037407
                     69,                0.21946,                0.20105,                0.84198,                0.79273,                0.71979,                 0.7334,                0.62825,                 0.8591,                 1.1229,                 1.4956,             0.00036307,             0.00036307,             0.00036307
                     70,                0.22457,                0.21303,                0.85651,                0.79562,                 0.6841,                0.69151,                0.58608,                0.86123,                 1.1854,                 1.5059,             0.00035208,             0.00035208,             0.00035208
                     71,                0.22109,                0.20192,                0.84357,                0.81664,                0.76476,                0.76858,                0.66474,                0.82205,                 0.9786,                 1.4882,             0.00034108,             0.00034108,             0.00034108
                     72,                0.21757,                0.19897,                0.84828,                0.81727,                0.76125,                0.75693,                0.65803,                0.83281,                0.97552,                 1.5111,             0.00033008,             0.00033008,             0.00033008
                     73,                0.21258,                0.19593,                0.84576,                0.80224,                 0.7611,                0.77411,                 0.6713,                0.83578,                 1.0005,                 1.4874,             0.00031908,             0.00031908,             0.00031908
